id,title,authors,venue,year,cosine_avg_sim,combined_avg_sim
nsFFKjYz19cJ,Computing complete answers to queries in the presence of limited access patterns (extended version),C Li,,,148.67752237068675,148.67752237068675
1WArdj4NhEoJ,An efficient algorithms for mining association rules in large databases. Proceedings of the 21th  ,"A SAVASERE, E MIECINSKI, S NAVATHE",,1995.0,148.66269973155676,148.66269973155676
Hc029KXUhX8J,A Cost-Effective Method for Providing Improved Data Availability During DBMS Restart Recovery After  ,C Mohan,,,148.64207970076842,148.64207970076842
L1j6zI2VJxoJ,Man and the variable vulnerability of island life: a study of recent vegetation change in the  ,AR Byrne,,1972.0,148.63801799485418,148.63801799485418
i6QOOOYvOqQJ,"Data Management in eCommerce: The Good, the Bad, and the Ugly",A Gal,,,148.6237025893561,148.6237025893561
i1MpjpQXNvIJ,A study of fundamental relations of the mathematical theory of elasticity,AM Winslow,,1934.0,148.6151336058543,148.6151336058543
yZzU__-5W3cJ,Organization in the spinal cord: the anatomy and physiology of identified neurones,AG Brown,,1981.0,148.61050063990714,148.61050063990714
LftujaVNUfEJ,Whatâ??s New on the Web? The Evolution of the Web from a Search Engine Perspective,"A Ntoulas, J Cho, C Olston",,,148.58593448511272,148.58593448511272
xxoE3kJ73WsJ,Visual and haptic interactions in the perception of stiffness in virtual environments,AJ Cividanes,,2000.0,148.55411412063876,148.55411412063876
f88-RVzSs3IJ,Query Containment in the Presence of Limited Access Patterns,"C Li, E Chang",,,148.55310331426372,148.55310331426372
uwGRgxWWCtUJ,Database and Information Systems Research Database and Information Systems Research for Semantic Web ,"A Sheth, R Meersman",,,148.54468492571993,148.54468492571993
o3fkxpcCBskJ,Objectivity Industrial Exhibit.,"ACMS DiSC, ACMS Anthology, P Edition",,,148.51142789486667,148.51142789486667
9iWlqDM1g78J,A direct algorithm for type inference in the rank-2 fragment of the second-order-calculus,"AJ Kfoury, JB Wells",,,148.50529436644743,148.50529436644743
Ob_9jHdbnfkJ,Tools and Techniques for Memory System Design and Analysis,AR Lebeck,,1995.0,148.41889052661418,148.41889052661418
nN2ilWzjT9wJ,Application of global optimization to the design of pipe networks,"AJ Abebe, DP Solomatine",,,148.3944905721839,148.3944905721839
MH0RCZvsQ1cJ,Advances in databases and information systems,"A Caplinskas, J Eder",,,148.38401243369015,148.38401243369015
N-o3NPu-nbIJ,An efficient algorithm for mining association rules in large databases,"A Savasere, E Omiecinski, S Navathe",,1995.0,148.36666129382144,148.36666129382144
76SAFVdtaeEJ,The social system of the Sanuma of northern Brazil,AR Ramos,,1972.0,148.33595874332437,148.33595874332437
EIeV9avucy0J,Geographic structure of genetic variation of populations of genus Albinaria in the region of the  ,A Ayoutanti,,1994.0,148.33050146907283,148.33050146907283
NEC0fstMCnoJ,In: The Human Nervous System,AJ Beitz,,1990.0,148.31159470262676,148.31159470262676
CmeelkDoWl8J,Local Verification of Global Integrity Constraints in Distributed Databases,"A Gupta, J Widom",,,148.3076106191304,148.3076106191304
lTNqBpBUA5sJ,SQL/XML and the SQLX Informal Group of Companies [Z]. proceeding of SIGMOD international conference,"A Eisenberg, J Melton",,2001.0,148.26668302250607,148.26668302250607
VCiXh8qcrIMJ,Monitoring XML Data on the Web,"B Nguyen, S Abiteboul, G Cobena, M Preda",,,148.26337378845204,148.26337378845204
yrY9CidsKi0J,"Human spatial psychology: an investigation of the psychology of use, restriction, and attachment to  ",BA Thompson,,1999.0,148.25733656224293,148.25733656224293
qNs5jJukGXQJ,On the Power of Magic,C Been,,,148.25374753386703,148.25374753386703
jpSC_gYuDqAJ,Medical education in the United States and Canada: a report to the Carnegie Foundation for the  ,A Flexner,,1910.0,148.23062539361476,148.23062539361476
XxdrEBqj7OkJ,Resource Partitioning and the Evolution of Specialist Organizations: The Role of Location and  ,A Swaminathan,,,148.20439333944094,148.20439333944094
5BIgRdEmosgJ,Constraints for the Web,"A Borning, R Lin, K Marriott",,,148.20097649790128,148.20097649790128
_2hj6snS3foJ,ARIES/CSA: A Method for Database Recovery in Client-Server Architectures,"C Mohan, I Narang",,1994.0,148.19745766313022,148.19745766313022
4QNm7f3MZLkJ,The Information Manifold approach to data integration,A Levy,,,148.1735037745793,148.1735037745793
KZRM1tIlRXwJ,Userâ??s Guide for the Substitution Model,AR Meyer,,1994.0,148.1654883830323,148.1654883830323
zaylPeX-nbQJ,THE LAPTOP INITIATIVE IN THE GRAPHIC COMMUNICATIONS MANAGEMENT PROGRAM AT THE UNIVERSITY OF  ,BP Klinger,,2004.0,148.15772423136556,148.15772423136556
rHLmfJRQUu0J,An efficient algorithm for mining association in large databases,"A Savasere, E Omiecinski, S Navathe",,,148.15302048279167,148.15302048279167
GMJI0SdwptIJ,Software Engineering in the Academy,B Meyer,,,148.11541877079102,148.11541877079102
mFHdV09MfG8J,  Protocol: A Technique for Maintaining Linear Arithmetic Constraints in Distributed Database Systems,", H Garcia-Molina",,,148.10802162594024,148.10802162594024
x6kcVA730LcJ,An Analysis of Query Languages for XML,"AD DomÃ­nguez, R Baeza-Yates",,,148.10313049641903,148.10313049641903
Z95mbMPKJ64J,The use of stress to quantitate the survival potential of three strains of trout,AA Rich,,1979.0,148.10041550810575,148.10041550810575
t6-LjSlCUmcJ,Interaction of Query Evaluation and Buffer Management for,"BT Jonsson, MJ Franklin, D Srivastava",,,148.09406480147845,148.09406480147845
ll8GRo5AxaMJ,On the Materialization of WebViews,"A Labrinidis, N Roussopoulos",,,148.0912708109477,148.0912708109477
Wasuwo9FxrMJ,The effects of changes of body temperature on the oxygen deficit incurred in exercise,AD Claremont,,1969.0,148.08499583019147,148.08499583019147
r-BkIPtpff4J,An Efficient Algorithm for Mining Association Rules in Large Databases,ASEOS Navathe,,,148.04683974754025,148.04683974754025
eXt7Nvd060MJ,"BGigascope: A stream database for network applications,^ in Proceedings of the ACM International  ","C Cranor, T Johnson, O Spataschek, V Shkapenyuk",,2003.0,148.041854423912,148.041854423912
B_axrPz8j5EJ,Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic  ,"A Sheth, R Meersman",,2002.0,148.03926986205357,148.03926986205357
ix3awhP0-mMJ,"Effect of cultural commitment, counseling approach, and counselor ethnicity on perceptions of the  ",AR Sanchez,,1986.0,148.03423235602824,148.03423235602824
5yOJPuxqMx8J,Influence of visual technology on the evolution of language environments,"AL Ambler, MM Burnett",,,148.03082015839937,148.03082015839937
JiuTaLC5aQ0J,Code: the hidden language of computer hardware and software,C Petzold,,1999.0,148.00613333074776,148.00613333074776
rJnFYWAzp18J,Contribution to the study of the fossil mammals of Thessaly,A Athanassiou,,1996.0,148.00033379154095,148.00033379154095
ub2wqqQgD40J,"Report from the NSF workshop on workflow and process automation in information systems, Deptartment  ","A SHETH, D GEORGAKOPOULOS, S JOOSTEN, M  ",,1996.0,147.99123116310298,147.99123116310298
Q_Uc_DKdj1wJ,Organization in the spinal cord,AG Brown,,1981.0,147.97867826535838,147.97867826535838
Ak5pAWfW89cJ,Efficient Query Processing in Geographic Information Systems,BC Ooi,,1990.0,147.97759804457516,147.97759804457516
3ZqmA3aF600J,Ecology and status of the greater sandhill cranes in southeastern Wisconsin,AJ Bennett,,1978.0,147.97681817132383,147.97681817132383
EF-7qIyPPk0J,The Role of Information Systems in Informationâ?? Level Security Management,C Lueg,,,147.9706319240591,147.9706319240591
Ha8MmWZEkeQJ,Design and Implementation of a Biodiversity Information Management System,"BJ Srikanta, J Haritsa",,,147.95012308380223,147.95012308380223
52t-38vPhxAJ,Selfish Behavior and Stability of the Internet: A Game-Theoretic Analysis of TCP,"A Akella, S Seshan, R Karp, S Shenker, C  ",,,147.94864302969037,147.94864302969037
FnIjlA5xLb4J,Data and Databases,"C Databases, D Warehouses, AE Technology, IP  ",,,147.92804320693378,147.92804320693378
Hy9_D6mNK9EJ,The Genesis Project: Network Decomposition in Monitoring and Simulation for Network Management and  ,"BK Szymanski, A Bivens, Y Liu, K Madnani, A Sastry",,,147.91927470481423,147.91927470481423
terxLUujmBoJ,Concurrency control in database systems,B Bhargava,,,147.9188410167832,147.9188410167832
dhTvW7s5SmMJ,Dealing with Performance Requirements During the Development of Information Systems,BA Nixon,,,147.9186047318935,147.9186047318935
xMvlzGbCJMUJ,Surround-Screen Projection-Based Virtual Reality: The Design and Implementation of the CAVE,"C Cruz-Neira, DJ Sandin, TA DeFanti",,,147.9091672821719,147.9091672821719
WCHVk1a5uwMJ,DEUTERIUM ISOTOPE EFFECT ON THE TOXICOKINETICS OF MONOMETHYLAMINE IN THE RAT,"AJ STREETER, RW NIMS, PR SHEFFELS, JA HRABIE, L  ",,,147.90082492662296,147.90082492662296
nLQnCYxLxFUJ,The Complexity of Reusing and Modifying Rulebases,AJ Bonner,,,147.8698047209562,147.8698047209562
L9m1KCAPY-kJ,Complete Solution of the Eight-Puzzle and the Benet of Node Ordering in IDA,A Reinefeld,,,147.8670089078445,147.8670089078445
J550UY8rV-wJ,"A Description of the Methodology,â??",AI Zones,,,147.85291252165635,147.85291252165635
72l-Cw_kOhIJ,The effects of varying infant peer experience on social behavior in the rhesus monkeys,AS Chamove,,1966.0,147.85152170602242,147.85152170602242
DRH5Sh360EkJ,A new NMR data standard for the exchange and archiving for multi-dimensional data sets,AN Davies,,,147.83705534098894,147.83705534098894
1j3MnZC_Gi8J,An evaluation of two metaphors for the presentation of electronic news. Accepted for,"C Watters, M Shepherd, L Manchester, T Chaisson",,1997.0,147.8253888615852,147.8253888615852
zizzrdKEfbMJ,The isomonodromic deformation method in the theory of PainlevÃ© equations,"AR Its, VY Novokshenov",,1986.0,147.82258087925152,147.82258087925152
UN3aazSPnk8J,Mediating the Knowledge of End-Users and Technologists: A Problem in the Deployment of Scheduling  ,"A Cesta, G Cortellessa, F Pecora, R Rasconi",,,147.82052577219721,147.82052577219721
NtxI_iYgbt4J,"Education and the structuring of the European space: north-south, centre-periphery, identity- ","AM Kazamias, MG Spillane",,1998.0,147.81834007487072,147.81834007487072
Iige_QpqUq8J,"The effects of a confluent language curriculum on the oral and written communication skills,, and  ",B Galyean,,1977.0,147.80572871964532,147.80572871964532
uA2hKrKiu6cJ,Bulk Loading Techniques for Object Databases and an Application to Relational Data,BP INRIA,,,147.80417067804885,147.80417067804885
fN0Gz-m-R8sJ,Simulation of changes in the spatial pattern of land use in China,", A Veldkamp, LO Fresco",,1999.0,147.78288262796096,147.78288262796096
FXBNNX-pFgwJ,An algorithm for the identification of proteins in sequence databases using peptide masses and N-or  ,"C KOROSTENSKY, W STAUDENMANN, P DAINESE, G GONNET, ",,1998.0,147.77858887958078,147.77858887958078
CkNAY9iebmMJ,Caching and database scaling in distributed shared-nothing information retrieval systems,"A Tomasic, H Garcia-Molina",,,147.7762738478026,147.7762738478026
mD3Pl_AOazgJ,Cyclers: An Analysis of the Welfare Caseload,"C Miller, S Leavers",,2002.0,147.76415657319765,147.76415657319765
6NjkVK5OrZAJ,AN EVALUATION OF COMMERCIALLY PREPARED MODULES USED IN TECHNOLOGY EDUCATION,AR Brown,,1999.0,147.75425748886198,147.75425748886198
M2zV0WBF7XYJ,A scalable algorithm for answering queries using views,AY Levy,,,147.7522225427362,147.7522225427362
ugnogVjK7SgJ,Stability of the Optimal Design with Respect to Inaccurate Solution of the Nonlinear State Problem,C Stangl,,,147.73535944962657,147.73535944962657
CgL8PDWEOQYJ,Black colleges and universities: challenges for the future,AM Garibaldi,,,147.72201835967294,147.72201835967294
PfdzESnE3QgJ,The Impact of Information Technology on Transaction and Coordination Cost,"A Cordella, KA Simon",,,147.7115765387912,147.7115765387912
q6xN0MkDNHAJ,Development and modification of the adrenocortical stress response in adult and chick Magellanic  ,BG Walker,,2003.0,147.71008243162066,147.71008243162066
o3ZB-NVdP-4J,Failure Analysis in Query Construction: Data and Analysis from a Large Sample of Web Queries,"BJ Jansen, A Spink, T Saracevic",,,147.6988723466652,147.6988723466652
url:http://ieeexplore.ieee.org/iel4/5812/15497/00718124.pdf%3Farnumber%3D718124,Implementation of the IRRD Data Base in Portugal,A Lucas,,,147.69433526565754,147.69433526565754
Evn-Z5QkQb0J,THE EFFECT OF ALUMINIUM ON THE STABILITY OF INTRACELLULAR MEMBRANES,"A Banasik, A Lankoff",,,147.6848014472469,147.6848014472469
RhN5x_94iQAJ,On the Gurov-Reshetnyak class of functions,AA Korenovskyy,,,147.68458023796458,147.68458023796458
kXX7Qh-wElIJ,In: Folding of the LDL receptor in the endoplasmic reticulum,A Jansens,,2002.0,147.67439770409092,147.67439770409092
yQq83Fj3OWEJ,On the need for simulation for better characterization of software reliability,"A von Mayrhauser, YK Malaiya, PK Srimani",,,147.6694222131432,147.6694222131432
6xqKn0aPkpMJ,Implementation of a Compiler for a Semantic Data Model: Experiences with Taxis,"BA Nixon, L Chung, D Lauzon, A Borgida, J  ",,,147.66896932109643,147.66896932109643
a78Lxr80kJUJ,Estimating the Selectivity of Spatial Queries Using the'Correlation'Fractal Dimension,"A Belussi, C Faloutsos",,1995.0,147.65353034465528,147.65353034465528
mUvaRmgc_hcJ,The Return of the Political,C Mouffe,,,147.64167239180742,147.64167239180742
zHzojHeqRykJ,"Differential expression of ZAP-70 and Syk protein tyrosine kinases (PTKs), and the role of this  ","AC Chan, NSC van Oers, LA Turka, CL Law, EA Clark, ",,1993.0,147.6400654926865,147.6400654926865
OtxDte56bMMJ,"A unified approach for analyzing persistent, non-persistent and ONâ??OFF TCP sessions in the  ","A Gupta, V Sharma",,,147.6379728645409,147.6379728645409
Y_u_Qs1FBjoJ,The Theory of Probability,BV Gnedenko,,,147.63715832716207,147.63715832716207
dnbk1IJpm6MJ,The strategic use of memory for frequency and recency in search control,"A Howes, SJ Payne",,,147.6354752611919,147.6354752611919
7S1U_EPD-YUJ,The design and implementation of a flexible middleware for multimedia communications comprising  ,"B Stiller, C Class, M Waldvogel, G Caronni, D  ",,,147.62706419373873,147.62706419373873
g4p3K22hY_oJ,Outerjoin Simplification and Reordering for Query Optimization,A Rosenthal,,1997.0,147.62654662763475,147.62654662763475
hgmHg5V-kdAJ,THE EFFECT OF pH ON THE INTERFACIAL TENSION OF BILAYER LIPID MEMBRANES FORMED FROM  ,AD Petelska,,,147.62420867939915,147.62420867939915
0SVV6Fr9pvsJ,"Programming Windows, The Definitive Guide to the Win32 API",C Petzold,,1998.0,147.6175425071929,147.6175425071929
DSBC_ssMUs4J,An Introduction to Fibonacci: a Programming Language for Object Databases,"A Albano, G Ghelli, R Orsini",,,147.6174872381478,147.6174872381478
-vneR5KsQUcJ,The effects of Head Start and socioeconomic status on cognitive development of disadvantaged  ,BS Barnow,,1973.0,147.61581981205003,147.61581981205003
GcZFuzekOiAJ,The Discovery of the Individual 1050-1200,C Morris,,,147.61331208415353,147.61331208415353
-uH45U-PImkJ,The rise and fall of festivals; Reflections on the Salzburg Festival,BS Frey,,,147.61273165688544,147.61273165688544
kKk-JgCVJwIJ,Analysis of BSE risk factors in the Republic of Argentina,"B CanÃ©, E Gimeno, JC Manetti, C Van Gelderen, E  ",,1991.0,147.6075384498668,147.6075384498668
IdJMG6VH5eUJ,SCHOOL VIOLENCE AND THE EFFECT ON THE GUIDANCE COUNSELORâ??S ROLE,B Anderson,,2004.0,147.60372114237958,147.60372114237958
OJZhMNXmQ8gJ,Autonomous Selection of Indexes and Materialized Views in Two Commerical Database Management Systems,"AR El-Sayed, H Smit",,,147.59897889744917,147.59897889744917
gxR_MrCD8dEJ,Consistency of the theory of contexts (2001),"A Bucalo, M Hofmann, F Honsell, M Miculan, I  ",,,147.597947438301,147.597947438301
pSSksOa1kDwJ,Database research: Achievements and opportunities into the 21st century. Report of an nsf workshop,"A Silberschatz, M Stonebreaker, J Ullman",,1995.0,147.59637595951088,147.59637595951088
jXYfLAjFrl0J,Failure and Failure Resolution in the US Thrift and Banking Industries,"A Gupta, L Misra",,,147.59530434044407,147.59530434044407
5WfSFGyxTAAJ,Comparison of the three rating scales as outcome measures for treatment trials of depression in  ,"AM Politis, LS Mayer, CG Lyketsos",,,147.5835650861243,147.5835650861243
tqd4Fty0abYJ,Experiences in providing data access support for computational modelling systems,AM Sastri,,1994.0,147.5781009210737,147.5781009210737
2OSWIKBIbyEJ,The motor cortex of the cat..,AF Borge,,1950.0,147.5748716808832,147.5748716808832
UKz8IkAv_kEJ,Rtrees: A dynamic index structure for spatial searching,A Guttman,,1984.0,147.57222858296475,147.57222858296475
2q183QIL0lEJ,"The evolution of prehistoric political organizations in the Moche Valley, Peru",BR Billman,,1996.0,147.55533253566207,147.55533253566207
Tr2RmjNi9hwJ,Application of high pressure treatment to wort and beer in the elaboration process of beer,"C PeÃ?rez Lamela, DA Ledward, R Reed, J Simal  ",,,147.54948451001215,147.54948451001215
UCrQO5SiRIwJ,LIMITS OF PERFORMANCE IN REFERENCE-TRACKING AND PATH-FOLLOWING FOR NONLINEAR SYSTEMS,"AP Aguiar, JP Hespanha, P Kokotovic",,,147.54874856320714,147.54874856320714
sQu8znidi50J,ECOBASEâ??Database and Web Technologies for Environmental Information Systems,"AK Tanaka, P Valduriez",,1999.0,147.54004278459504,147.54004278459504
3mLKQfhVh3cJ,Towards a theory of cost management for digital libraries,"AP Sistla, O Wolfson, Y Yesha, R Sloan",,1998.0,147.53478082365552,147.53478082365552
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D277953%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,What Can We Do to Strengthen the Connection Between Theory and System Builders,A Rosenthal,,,147.53472755028255,147.53472755028255
